Context	Observation	Subj_ID	Gender	Arousal_c1	Valence_c1	Emotion_c1	Emotion_cue_c1
Own-goal	Observed	ProShame98	m	3	4	Guilt	Guilty_smile
Own-goal	Unobserved	ProShame88	m	2	2	Sadness	Sad_facial_expression
Help	Unobserved	ProShame60	m	3	2	Sadness	Sad_facial_expression
Help	Unobserved	ProShame08	m	4	2	Shame	lowered_or_avoidant_gaze
Own-goal	Unobserved	ProShame55	m	3	2	Sadness	Sad_facial_expression
Own-goal	Unobserved	ProShame95	m	4	1	Sadness	Sad_facial_expression
Own-goal	Observed	ProShame82	m	3	3	Sadness	Sad_facial_expression
Help	Unobserved	ProShame56	w	4	3	Contentment	lips_together
Help	Observed	ProShame21	w	3	3	Anger	fists_clenching 
Own-goal	Observed	ProShame10	w	3	3	Shame	slumped_shoulders
Own-goal	Unobserved	ProShame91	w	4	3	Guilt	Guilty_smile
Own-goal	Observed	ProShame103	m	3	2	Shame	lowered_or_avoidant_gaze
Own-goal	Observed	ProShame62	m	3	2	Shame	lowered_or_avoidant_gaze
Help	Unobserved	ProShame20	w	4	3	Sadness	Sad_facial_expression
Help	Unobserved	ProShame64	w	3	3	Anger	large_movements
Own-goal	Observed	ProShame99	w	4	3	Shame	lowered_or_avoidant_gaze
Own-goal	Unobserved	ProShame69	m	4	3	Disappointment 	head_tilted_down
Help	Observed	ProShame100	w	3	2	Disappointment 	Facial_expression
Own-goal	Observed	ProShame34	w	4	3	Sadness	Sad_facial_expression
Own-goal	Unobserved	ProShame72	w	5	2	Shame	Lowered_or_collapsed_upper_body_posture
Help	Unobserved	ProShame77	m	5	1	Sadness	Sad_facial_expression
Own-goal	Unobserved	ProShame59	w	4	2	Shame	lowered_head
Own-goal	Unobserved	ProShame51	w	4	3	Contentment	slight_smile
Help	Unobserved	ProShame89	w	3	2	Guilt	shifting_gaze
Help	Observed	ProShame105	w	3	2	Sadness	Sad_facial_expression
Own-goal	Unobserved	ProShame39	w	5	5	Elated_joy	smile_with_an_open_mouth
Own-goal	Observed	ProShame02	w	2	3	Contentment	lips_together
Help	Unobserved	ProShame78	w	4	3	Contentment	lips_together
Own-goal	Observed	ProShame26	w	5	1	Guilt	shifting_gaze
Own-goal	Unobserved	ProShame11	m	4	2	Disappointment 	Facial_expression
Help	Unobserved	ProShame97	m	4	2	Shame	head_tilted_down
Own-goal	Unobserved	ProShame68	m	5	2	Anger	large_movements
Help	Unobserved	ProShame87	m	5	2	Shame	slumped_shoulders
Help	Observed	ProShame57	w	5	3	Shame	lowered_or_avoidant_gaze
Help	Unobserved	ProShame40	w	4	3	Guilt	Guilty_smile
Help	Observed	ProShame25	w	4	3	Disappointment 	Facial_expression
Help	Observed	ProShame101	w	3	3	Disappointment	Facial_expression
Help	Unobserved	ProShame92	w	5	2	Guilt	Guilty_smile
Own-goal	Observed	ProShame38	m	2	2	Sadness	Sad_facial_expression
Own-goal	Unobserved	ProShame94	w	4	3	Shame	blushing
Help	Observed	ProShame49	w	4	3	Contentment	slight_smile
Own-goal	Observed	ProShame54	m	2	2	Sadness	Sad_facial_expression
Own-goal	Observed	ProShame58	m	3	2	Shame	lowered_or_avoidant_gaze
Help	Observed	ProShame09	w	4	3	Shame	lowered_or_avoidant_gaze
Own-goal	Unobserved	ProShame43	m	3	3	Awe	slightly_opened_mouth
Help	Unobserved	ProShame85	m	4	2	Shame	slumped_shoulders
Own-goal	Observed	ProShame22	w	4	3	Guilt	Guilty_smile
Help	Unobserved	ProShame04	w	4	2	Shame	lowered_head
Help	Unobserved	ProShame48	m	4	5	Happiness	Smile
Help	Observed	ProShame17	m	2	4	Contentment	slight_smile
Help	Unobserved	ProShame12	m	3	3	Shame	lowered_or_avoidant_gaze
Own-goal	Unobserved	ProShame70	w	4	2	Shame	lowered_head
Own-goal	Unobserved	ProShame31	m	4	2	Disappointment	Facial_expression
Own-goal	Unobserved	ProShame23	m	4	2	Shame	lowered_or_avoidant_gaze
Own-goal	Observed	ProShame42	w	4	2	Guilt	shifting_gaze
Own-goal	Observed	ProShame93	m	4	2	Disappointment	Facial_expression
Help	Unobserved	ProShame36	m	4	3	Anger	fists_clenching 
Own-goal	Unobserved	ProShame67	w	4	2	Shame	slumped_shoulders
Help	Observed	ProShame53	m	4	3	Shame	slumped_shoulders
Own-goal	Observed	ProShame14	w	5	1	Shame	lowered_or_avoidant_gaze
Own-goal	Unobserved	ProShame27	m	2	3	Contentment	lips_together
Help	Observed	ProShame01	w	5	3	Guilt	Guilty_smile
Help	Observed	ProShame41	m	3	2	Shame	Lowered_or_collapsed_upper_body_posture
Help	Observed	ProShame61	m	5	1	Sadness	Sad_facial_expression
Help	Observed	ProShame37	m	2	3	Contentment	lips_together
Help	Observed	ProShame45	m	4	2	Shame	lowered_or_avoidant_gaze
Help	Observed	ProShame29	m	4	2	Shame	lowered_or_avoidant_gaze
Own-goal	Observed	ProShame06	w	4	2	Disappointment	Facial_expression
