helped	Context	Condition	Dyade	Target	Gender.1	Experimenter	Arousal_c1	Valence_c1	Emotion_c1	Emotion_cue_c1
helped	incon	unobs	D6	target	f	E1	4	4	Happiness	Smile
not_helped	incon	obs	D24	nontarget	m	E1	4	3	Disappointment	large_movements
not_helped	con	obs	D16	target	f	E1	4	5	Elated_joy	Dynamic_movements
helped	con	unobs	D40	nontarget	m	E1	3	2	no_apparent_emotion	none
not_helped	con	obs	D50	target	m	E1	4	4	Contentment 	Slight_smile
not_helped	incon	obs	D17	nontarget	m	E1	2	2	Sadness	Sad_facial_expression
helped	con	unobs	D49	nontarget	f	E1	3	2	Anger	Angry_facial_expression,
not_helped	incon	unobs	D93	nontarget	m	E2	4	2	Sadness	Sad_facial_expression
helped	incon	unobs	D37	target	f	E1	2	4	Contentment 	Slight_smile
helped	con	unobs	D39	nontarget	m	E1	4	3	Pride	elevated_or_expanded_upper_body_posture 
not_helped	con	obs	D13	target	m	E1	4	4	Guilt	guilty_smile
not_helped	incon	unobs	D18	nontarget	m	E1	4	2	Awe	Raised_eyebrows
not_helped	con	unobs	D40	target	m	E1	4	3	Sadness	slow_movement
helped	incon	obs	D12	target	m	E1	5	5	Elated_joy	Dynamic_movements
helped	con	unobs	D9	nontarget	f	E1	5	4	Elated_joy	Dynamic_movements
helped	con	unobs	D45	nontarget	m	E1	3	3	Contentment 	lips_together
helped	con	obs	D22	nontarget	f	E1	3	5	Elated_joy	smile_with_an_open_mouth
helped	incon	obs	D28	target	m	E1	4	4	Pride	elevated_or_expanded_upper_body_posture 
not_helped	incon	unobs	D61	nontarget	f	E1	4	5	Elated_joy	smile_with_an_open_mouth
helped	con	unobs	D46	nontarget	m	E1	5	5	Elated_joy	Dynamic_movements
helped	incon	obs	D92	target	f	E2	3	3	Guilt	guilty_smile
not_helped	incon	unobs	D68	nontarget	m	E1	3	3	Sadness	Sad_facial_expression
not_helped	incon	obs	D29	nontarget	f	E1	5	5	Elated_joy	Dynamic_movements
helped	con	obs	D71	nontarget	f	E1	2	2	Disappointment	head_tilted_down
not_helped	con	unobs	D9	target	f	E1	5	4	Happiness	Smile
helped	incon	obs	D55	target	f	E1	2	3	Guilt	shifting_gaze
not_helped	con	unobs	D47	target	m	E1	3	3	Awe	Raised_eyebrows
not_helped	incon	obs	D98	nontarget	m	E2	4	2	Sadness	Sad_facial_expression
helped	incon	unobs	D34	target	m	E1	4	5	Guilt	guilty_smile
helped	incon	obs	D35	target	m	E1	4	5	Guilt	guilty_smile
not_helped	incon	unobs	D69	nontarget	f	E1	5	3	Shame	Lowered_or_collapsed_upper_body_posture
helped	incon	obs	D26	target	f	E1	4	4	Happiness	Smile
helped	incon	obs	D74	target	m	E1	4	2	Guilt	shifting_gaze
helped	con	obs	D81	nontarget	m	E1	3	3	Contentment 	lips_together
helped	con	unobs	D19	nontarget	m	E1	4	2	Contentment 	lips_together
not_helped	con	unobs	D8	target	m	E1	4	4	Guilt	shifting_gaze
helped	con	obs	D15	nontarget	m	E1	4	4	Contentment 	Slight_smile
not_helped	incon	obs	D28	nontarget	m	E1	3	3	Shame	slumbed_shoulders
not_helped	con	obs	D32	target	f	E1	4	4	Guilt	guilty_smile
not_helped	incon	unobs	D101	nontarget	m	E2	4	2	Shame	lowered_or_avoidant_gaze
not_helped	con	obs	D76	target	f	E1	5	4	Elated_joy	smile_with_an_open_mouth
helped	con	obs	D27	nontarget	f	E1	4	2	Sadness	Sad_facial_expression
helped	incon	unobs	D63	target	f	E1	5	5	Elated_joy	Dynamic_movements
not_helped	incon	unobs	D100	nontarget	m	E2	4	4	shame	lowered_or_avoidant_gaze
not_helped	incon	obs	D99	nontarget	m	E2	5	2	Disappointment	slightly_lowered_body_posture
helped	con	obs	D76	nontarget	f	E1	2	2	Sadness	Sad_facial_expression
not_helped	con	obs	D81	target	m	E1	5	4	Elated_joy	Dynamic_movements
helped	con	obs	D16	nontarget	f	E1	5	5	Elated_joy	smile_with_an_open_mouth
not_helped	incon	unobs	D64	nontarget	f	E1	3	4	Happiness	Smile
helped	con	unobs	D97	nontarget	f	E2	4	4	pride	elevated_or_expanded_upper_body_posture 
not_helped	con	obs	D51	target	m	E1	4	2	Sadness	slow_movement
not_helped	con	unobs	D23	target	m	E1	4	3	Guilt	shifting_gaze
helped	con	obs	D48	nontarget	m	E1	4	3	pride	elevated_or_expanded_upper_body_posture 
helped	incon	obs	D24	target	m	E1	4	3	Awe	slightly_opened_mouth
not_helped	incon	obs	D14	nontarget	m	E1	5	1	Anger	Angry_facial_expression
helped	incon	obs	D52	target	f	E1	2	3	Awe	slightly_opened_mouth
not_helped	con	unobs	D11	target	f	E1	4	4	Happiness	Smile
helped	con	unobs	D79	nontarget	m	E1	4	4	Happiness	Smile
helped	con	obs	D51	nontarget	m	E1	4	4	Happiness	Smile
not_helped	incon	unobs	D37	nontarget	f	E1	2	3	Sadness	Sad_facial_expression
helped	con	obs	D43	nontarget	m	E1	4	5	Happiness	Smile
not_helped	con	unobs	D45	target	m	E1	3	4	Happiness	Smile
helped	incon	obs	D73	target	f	E1	3	4	no_apparent_emotion	none
not_helped	incon	unobs	D42	nontarget	m	E1	4	2	Anger	Angry_facial_expression
helped	con	obs	D90	nontarget	m	E2	5	4	Elated_joy	smile_with_an_open_mouth
not_helped	incon	unobs	D6	nontarget	f	E1	2	1	Disappointment	slightly_lowered_body_posture
helped	con	unobs	D70	nontarget	m	E1	2	3	Contentment 	lips_together
helped	incon	obs	D99	target	m	E2	4	2	Shame	slumbed_shoulders
not_helped	incon	obs	D92	nontarget	f	E2	2	2	Sadness	Sad_facial_expression
helped	incon	unobs	D101	target	m	E2	4	3	Contentment 	Slight_smile
not_helped	con	obs	D15	target	m	E1	4	5	Elated_joy	smile_with_an_open_mouth
not_helped	con	unobs	D67	target	f	E1	3	3	Guilt	shifting_gaze
not_helped	incon	obs	D54	nontarget	f	E1	5	4	Happiness	Smile
not_helped	con	obs	D22	target	f	E1	3	4	Contentment 	lips_together
helped	incon	unobs	D64	target	f	E1	4	4	Awe	Raised_eyebrows
helped	incon	unobs	D96	target	f	E2	3	3	Guilt	shifting_gaze
helped	incon	unobs	D100	target	m	E2	5	4	Elated_joy	Dynamic_movements
not_helped	con	unobs	D66	target	f	E1	4	5	Happiness	Smile
helped	incon	obs	D98	target	m	E2	5	3	Elated_joy	Dynamic_movements
not_helped	con	obs	D43	target	m	E1	3	2	Sadness	Sad_facial_expression
not_helped	con	unobs	D97	target	f	E2	5	5	Elated_joy	smile_with_an_open_mouth
not_helped	con	unobs	D70	target	m	E1	5	5	Happiness	Smile
helped	incon	obs	D17	target	m	E1	4	4	Happiness	Smile
helped	incon	unobs	D41	target	f	E1	4	4	Guilt	guilty_smile
not_helped	incon	obs	D35	nontarget	m	E1	3	4	Awe	Raised_eyebrows
helped	con	obs	D78	nontarget	m	E1	4	5	Elated_joy	smile_with_an_open_mouth
helped	con	unobs	D67	nontarget	f	E1	4	4	Happiness	Smile
helped	incon	obs	D30	target	f	E1	4	4	Happiness	Smile
not_helped	incon	unobs	D65	nontarget	f	E1	2	3	Contentment 	lips_together
helped	incon	unobs	D4	target	m	E1	4	4	Guilt	guilty_smile
helped	con	unobs	D38	nontarget	f	E1	4	5	Elated_joy	arm_movement_upwards,
not_helped	con	obs	D102	target	f	E2	2	3	Guilt	shifting_gaze
helped	incon	unobs	D68	target	m	E1	4	5	Elated_joy	smile_with_an_open_mouth
not_helped	incon	unobs	D4	nontarget	m	E1	4	3	Disappointment	slightly_lowered_body_posture
helped	incon	unobs	D62	target	m	E1	4	3	Happiness	Smile
helped	con	obs	D50	nontarget	m	E1	2	3	Contentment 	Slight_smile
not_helped	con	obs	D27	target	f	E1	3	4	Happiness	Smile
not_helped	incon	obs	D73	nontarget	f	E1	5	3	Disappointment	large_movements
not_helped	con	unobs	D19	target	m	E1	5	2	Disappointment	Facial_expression
helped	con	unobs	D23	nontarget	m	E1	5	5	Elated_joy	Dynamic_movements
not_helped	con	obs	D77	target	m	E1	4	2	Sadness	Sad_facial_expression
helped	con	obs	D102	nontarget	f	E2	3	4	Contentment 	Slight_smile
helped	incon	unobs	D18	target	m	E1	5	5	Happiness	Smile
helped	con	obs	D80	nontarget	m	E1	4	5	Happiness	Smile
not_helped	incon	unobs	D96	nontarget	f	E2	5	5	Elated_joy	smile_with_an_open_mouth
not_helped	con	unobs	D46	target	m	E1	3	4	Happiness	Smile
helped	con	obs	D103	nontarget	m	E2	4	4	Guilt	shifting_gaze
not_helped	con	obs	D103	target	m	E2	5	5	Shame	lowered_or_avoidant_gaze
helped	incon	obs	D14	target	m	E1	3	4	Happiness	Smile
not_helped	incon	obs	D74	nontarget	m	E1	3	5	Happiness	Smile
helped	incon	unobs	D93	target	m	E2	3	3	Contentment 	Slight_smile
not_helped	con	unobs	D38	target	f	E1	3	2	Guilt	shifting_gaze
helped	incon	unobs	D69	target	f	E1	5	1	Shame	slumbed_shoulders
helped	incon	unobs	D42	target	m	E1	3	3	Guilt	shifting_gaze
helped	incon	obs	D91	target	m	E2	4	4	Elated_joy	Dynamic_movements
helped	incon	obs	D29	target	f	E1	3	4	Happiness	Smile
not_helped	incon	unobs	D33	nontarget	m	E1	4	2	Shame	slumbed_shoulders
not_helped	con	obs	D90	target	m	E2	4	2	Anger	large_movements
helped	incon	unobs	D65	target	f	E1	3	3	Contentment 	lips_together
not_helped	con	unobs	D49	target	f	E1	5	3	shame	frowning
not_helped	incon	obs	D75	nontarget	m	E1	4	3	Guilt	shifting_gaze
not_helped	con	unobs	D39	target	m	E1	3	4	Contentment 	Slight_smile
